Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Texts,References,Correspondence Address,Editors,Publisher,Sponsors,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Costa G.; Nakamura Q.; Lopes Q.; Silva K.,Costa G. (56081586423); Nakamura Q. (59311319956); Lopes Q. (56714797475); Silva K. (57392537542),56081586423; 59311319956; 56714797475; 57392537542,Towards sustainable drone-based field surveying: a longitudinal study (case 1),2019,Biosystems Engineering,35,,,168,311,15,10.9999/synthetic.2019.1000,https://doi.org/10.9999/synthetic.2019.1000,"Department of Agricultural Engineering, Example University, Example City, Country","Costa G., Department of Agricultural Engineering, Example University; Nakamura Q., Department of Agricultural Engineering, Example University; Lopes Q., Department of Agricultural Engineering, Example University; Silva K., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",NDVI; multispectral sensing; canopy segmentation,NDVI; multispectral sensing; canopy segmentation,,,,,,,"Pereira M., Journal of Applied Sciences, 81, (2007); Pereira O., Comput Electron Agric, 368, (2018); Klein P., Int J Agric Eng, 350, (2006); Pereira H., Comput Electron Agric, 329, (2006)","Costa G.; Department of Agricultural Engineering, Example University; email: example0@example.edu",,IEEE,,,,,,92446128,,,,English,Biosystems Engineering,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100000
Gomes J.; Teixeira R.,Gomes J. (57461347176); Teixeira R. (59016594137),57461347176; 59016594137,Design and validation of a drone-based field surveying system (case 2),2019,Environmental Monitoring and Assessment,35,,,53,314,15,10.9999/synthetic.2019.1001,https://doi.org/10.9999/synthetic.2019.1001,"Department of Agricultural Engineering, Example University, Example City, Country","Gomes J., Department of Agricultural Engineering, Example University; Teixeira R., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with simulation to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",multispectral sensing; NDVI; UAV imagery,multispectral sensing; NDVI; UAV imagery,,,,,,,"Nakamura N., Comput Electron Agric, 296, (2013); Gomes F., Journal of Applied Sciences, 26, (2007); Duarte D., Comput Electron Agric, 269, (2005)","Gomes J.; Department of Agricultural Engineering, Example University; email: example1@example.edu",,Elsevier Ltd,,,,,,98722175,,,,English,Environmental Monitoring and Assessment,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100001
Lopes Q.; Henriques B.,Lopes Q. (56714797475); Henriques B. (59979002917),56714797475; 59979002917,A novel approach to machine learning yield prediction using open-source hardware (case 3),2019,Sensors,60,1,,52,302,4,10.9999/synthetic.2019.1002,https://doi.org/10.9999/synthetic.2019.1002,"Department of Agricultural Engineering, Example University, Example City, Country","Lopes Q., Department of Agricultural Engineering, Example University; Henriques B., Department of Agricultural Engineering, Example University","This study investigates machine learning yield prediction in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with field trials to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on machine learning yield prediction and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",feature selection; random forest; remote sensing,feature selection; random forest; remote sensing,,,,,,,"Oliveira E., Int J Agric Eng, 318, (2018); Gomes F., Int J Agric Eng, 197, (2023); Martins D., Int J Agric Eng, 244, (2007)","Lopes Q.; Department of Agricultural Engineering, Example University; email: example2@example.edu",,MDPI,,,,,,27560793,,,,English,Sensors,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100002
Queiroz Q.,Queiroz Q. (56700597543),56700597543,Evaluating machine learning yield prediction performance under open-field conditions (case 4),2023,Environmental Monitoring and Assessment,10,10,,207,318,5,10.9999/synthetic.2023.1003,https://doi.org/10.9999/synthetic.2023.1003,"Department of Agricultural Engineering, Example University, Example City, Country","Queiroz Q., Department of Agricultural Engineering, Example University","This study investigates machine learning yield prediction in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on machine learning yield prediction and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",deep learning; remote sensing; random forest,deep learning; remote sensing; random forest,,,,,,,"Silva K., Journal of Applied Sciences, 159, (2008); Martins N., Int J Agric Eng, 326, (2013); Henriques B., Comput Electron Agric, 309, (2010); Pereira M., Journal of Applied Sciences, 331, (2023); Junqueira Q., Comput Electron Agric, 238, (2024)","Queiroz Q.; Department of Agricultural Engineering, Example University; email: example3@example.edu",,Elsevier Ltd,,,,,,30044547,,,,English,Environmental Monitoring and Assessment,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100003
Klein P.; Junqueira O.; Junqueira Q.; Gomes J.,Klein P. (59298064654); Junqueira O. (59611815294); Junqueira Q. (56239340466); Gomes J. (57461347176),59298064654; 59611815294; 56239340466; 57461347176,Evaluating precision irrigation performance under greenhouse conditions (case 5),2022,Biosystems Engineering,34,12,,191,305,16,10.9999/synthetic.2022.1004,https://doi.org/10.9999/synthetic.2022.1004,"Department of Agricultural Engineering, Example University, Example City, Country","Klein P., Department of Agricultural Engineering, Example University; Junqueira O., Department of Agricultural Engineering, Example University; Junqueira Q., Department of Agricultural Engineering, Example University; Gomes J., Department of Agricultural Engineering, Example University","This study investigates precision irrigation in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on precision irrigation and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",irrigation scheduling; tensiometry; deficit irrigation,irrigation scheduling; tensiometry; deficit irrigation,,,,,,,"Barros S., Int J Agric Eng, 260, (2011); Henriques K., Journal of Applied Sciences, 25, (2016); Teixeira R., Comput Electron Agric, 19, (2006); Martins N., Journal of Applied Sciences, 124, (2011); Henriques K., Comput Electron Agric, 196, (2013); Nakamura Q., Comput Electron Agric, 241, (2008); Martins N., Comput Electron Agric, 383, (2016)","Klein P.; Department of Agricultural Engineering, Example University; email: example4@example.edu",,Wiley,,,,,,48860047,,,,English,Biosystems Engineering,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100004
Duarte D.; Henriques B.; Esteves G.,Duarte D. (60243775706); Henriques B. (59979002917); Esteves G. (56981988764),60243775706; 59979002917; 56981988764,Field deployment of a machine learning yield prediction system (case 6),2022,Computers and Electronics in Agriculture,53,6,,117,315,12,10.9999/synthetic.2022.1005,https://doi.org/10.9999/synthetic.2022.1005,"Department of Agricultural Engineering, Example University, Example City, Country","Duarte D., Department of Agricultural Engineering, Example University; Henriques B., Department of Agricultural Engineering, Example University; Esteves G., Department of Agricultural Engineering, Example University","This study investigates machine learning yield prediction in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on machine learning yield prediction and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",deep learning; yield forecasting; remote sensing,deep learning; yield forecasting; remote sensing,,,,,,,"Oliveira S., Comput Electron Agric, 175, (2015); Costa G., Journal of Applied Sciences, 99, (2010); Ibrahim K., Comput Electron Agric, 344, (2019); Esteves G., Int J Agric Eng, 361, (2019); Ibrahim K., Comput Electron Agric, 273, (2021); Queiroz Q., Journal of Applied Sciences, 355, (2018); Pereira M., Int J Agric Eng, 114, (2017); Pereira O., Journal of Applied Sciences, 133, (2023)","Duarte D.; Department of Agricultural Engineering, Example University; email: example5@example.edu",,Wiley,,,,,,62973795,,,,English,Computers and Electronics in Agriculture,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100005
Lopes Q.; Pereira O.; Costa G.; Barros D.,Lopes Q. (56714797475); Pereira O. (57628608159); Costa G. (56081586423); Barros D. (58447968578),56714797475; 57628608159; 56081586423; 58447968578,Towards sustainable IoT crop monitoring: a longitudinal study (case 7),2024,Environmental Monitoring and Assessment,33,,,202,318,57,10.9999/synthetic.2024.1006,https://doi.org/10.9999/synthetic.2024.1006,"Department of Agricultural Engineering, Example University, Example City, Country","Lopes Q., Department of Agricultural Engineering, Example University; Pereira O., Department of Agricultural Engineering, Example University; Costa G., Department of Agricultural Engineering, Example University; Barros D., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with historical datasets to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",smart agriculture; Internet of Things; wireless sensor networks,smart agriculture; Internet of Things; wireless sensor networks,,,,,,,"Esteves P., Comput Electron Agric, 163, (2013); Queiroz E., Journal of Applied Sciences, 123, (2015); Nakamura N., Int J Agric Eng, 258, (2005); Pereira O., Comput Electron Agric, 322, (2023)","Lopes Q.; Department of Agricultural Engineering, Example University; email: example6@example.edu",,Springer Nature,,,,,,36825124,,,,English,Environmental Monitoring and Assessment,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100006
Gomes F.,Gomes F. (59994691462),59994691462,Evaluating precision irrigation performance under temperate conditions (case 8),2020,Biosystems Engineering,22,,,51,302,9,10.9999/synthetic.2020.1007,https://doi.org/10.9999/synthetic.2020.1007,"Department of Agricultural Engineering, Example University, Example City, Country","Gomes F., Department of Agricultural Engineering, Example University","This study investigates precision irrigation in the context of modern agricultural production systems. We propose a methodology combining statistical models with historical datasets to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on precision irrigation and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",irrigation scheduling; water use efficiency; deficit irrigation,irrigation scheduling; water use efficiency; deficit irrigation,,,,,,,"Oliveira E., Comput Electron Agric, 349, (2017); Henriques K., Comput Electron Agric, 199, (2011); Klein P., Comput Electron Agric, 82, (2021); Oliveira E., Comput Electron Agric, 399, (2014)","Gomes F.; Department of Agricultural Engineering, Example University; email: example7@example.edu",,Elsevier Ltd,,,,,,15097129,,,,English,Biosystems Engineering,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100007
Queiroz E.; Barros S.,Queiroz E. (60153646918); Barros S. (58016898259),60153646918; 58016898259,Towards sustainable greenhouse climate control: a comparative study (case 9),2018,Environmental Monitoring and Assessment,36,9,,293,307,17,10.9999/synthetic.2018.1008,https://doi.org/10.9999/synthetic.2018.1008,"Department of Agricultural Engineering, Example University, Example City, Country","Queiroz E., Department of Agricultural Engineering, Example University; Barros S., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with simulation to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",energy efficiency; thermal comfort; greenhouse automation,energy efficiency; thermal comfort; greenhouse automation,,,,,,,"Barros S., Int J Agric Eng, 259, (2010); Nakamura N., Int J Agric Eng, 24, (2017); Pereira O., Comput Electron Agric, 369, (2007); Esteves T., Journal of Applied Sciences, 15, (2018); Martins N., Comput Electron Agric, 201, (2017); Queiroz E., Journal of Applied Sciences, 89, (2010)","Queiroz E.; Department of Agricultural Engineering, Example University; email: example8@example.edu",,IEEE,,,,,,45519545,,,,English,Environmental Monitoring and Assessment,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100008
Henriques K.; Gomes F.; Nakamura N.,Henriques K. (59581770218); Gomes F. (59994691462); Nakamura N. (58464912100),59581770218; 59994691462; 58464912100,Performance evaluation of a greenhouse climate control system (case 10),2025,Biosystems Engineering,50,7,,153,304,1,10.9999/synthetic.2025.1009,https://doi.org/10.9999/synthetic.2025.1009,"Department of Agricultural Engineering, Example University, Example City, Country","Henriques K., Department of Agricultural Engineering, Example University; Gomes F., Department of Agricultural Engineering, Example University; Nakamura N., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",greenhouse automation; energy efficiency; thermal comfort,greenhouse automation; energy efficiency; thermal comfort,,,,,,,"Queiroz Q., Int J Agric Eng, 371, (2024); Esteves P., Journal of Applied Sciences, 69, (2018); Henriques K., Journal of Applied Sciences, 205, (2017); Oliveira S., Int J Agric Eng, 76, (2018)","Henriques K.; Department of Agricultural Engineering, Example University; email: example9@example.edu",,Springer Nature,,,,,,14927734,,,,English,Biosystems Engineering,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100009
